QtrNum,Force Name,Region,Financial Year,Financial Quarter,Population,Knife enabled,Violence with Injury,Homicide and serious injury,Knife Crime,RateKE,RateVWI,RateKC,ZScoreKE,ZScoreVWI,ZScoreKC
41,Metropolitan Police,London,2018/19,Q1,8778.491,2127,1688,42,3857,2.422967683,1.922881734,4.393693631,5.373696363,4.140608814,5.180443624
39,Metropolitan Police,London,2017/18,Q3,8778.491,2229,1558,35,3822,2.539160774,1.774792501,4.353823453,5.677590706,3.678527414,5.119881113
38,Metropolitan Police,London,2017/18,Q2,8778.491,2048,1714,35,3797,2.332974995,1.952499581,4.325344755,5.138327214,4.233025094,5.076622177
13,Metropolitan Police,London,2011/12,Q1,8778.491,2495,1235,31,3761,2.842174128,1.406847714,4.284335428,6.470099485,2.530432861,5.014329309
12,Metropolitan Police,London,2010/11,Q4,8778.491,2471,1207,28,3706,2.814834577,1.374951572,4.221682291,6.398594933,2.430907636,4.91915965
43,Metropolitan Police,London,2018/19,Q3,8778.491,2317,1344,32,3693,2.639405793,1.531014841,4.206873368,5.939774061,2.917870342,4.896665003
44,Metropolitan Police,London,2018/19,Q4,8778.491,2307,1291,52,3650,2.628014314,1.47064,4.157890006,5.909980498,2.72948331,4.822259633
42,Metropolitan Police,London,2018/19,Q2,8778.491,2097,1514,29,3640,2.388793245,1.724669992,4.146498527,5.284315673,3.522130633,4.804956058
37,Metropolitan Police,London,2017/18,Q1,8778.491,1829,1694,94,3617,2.083501595,1.929716622,4.120298124,4.485848182,4.161935648,4.765157837
15,Metropolitan Police,London,2011/12,Q3,8778.491,2422,1119,26,3567,2.759016328,1.274706553,4.063340727,6.252606474,2.118114074,4.678639965
14,Metropolitan Police,London,2011/12,Q2,8778.491,2221,1236,26,3483,2.53004759,1.407986862,3.967652299,5.653755856,2.533987333,4.53328994
40,Metropolitan Police,London,2017/18,Q4,8778.491,2115,1309,47,3471,2.409297908,1.491144663,3.953982524,5.337944087,2.793463811,4.51252565
2,Metropolitan Police,London,2008/09,Q2,8778.491,1869,1470,32,3371,2.129067513,1.674547482,3.840067729,4.605022435,3.365733852,4.339489906
16,Metropolitan Police,London,2011/12,Q4,8778.491,2300,1026,33,3359,2.620040278,1.168765794,3.826397954,5.889125004,1.787548149,4.318725616
8,Metropolitan Police,London,2009/10,Q4,8778.491,2069,1260,23,3352,2.356897102,1.435326413,3.818423918,5.200893697,2.619294668,4.306613114
9,Metropolitan Police,London,2010/11,Q1,8778.491,1902,1358,31,3291,2.166659395,1.546962912,3.748935893,4.703341193,2.967632954,4.20106131
11,Metropolitan Police,London,2010/11,Q3,8778.491,2173,1083,22,3278,2.475368489,1.233697227,3.73412697,5.510746753,1.990153071,4.178566663
36,Metropolitan Police,London,2016/17,Q4,8778.491,1643,1573,52,3268,1.871620077,1.791879721,3.722735491,3.931687909,3.731844499,4.161263089
5,Metropolitan Police,London,2009/10,Q1,8778.491,1728,1436,36,3200,1.968447652,1.635816452,3.64527343,4.184933195,3.244881793,4.043598783
1,Metropolitan Police,London,2008/09,Q1,8778.491,1674,1425,36,3135,1.906933663,1.623285824,3.571228814,4.024047954,3.205782598,3.931125549
34,Metropolitan Police,London,2016/17,Q2,8778.491,1422,1651,47,3120,1.619868381,1.88073326,3.554141594,3.273250164,4.009093339,3.905170187
10,Metropolitan Police,London,2010/11,Q2,8778.491,1788,1246,32,3066,2.036796529,1.419378342,3.492627605,4.363694574,2.569532056,3.811730885
43,Greater Manchester,North West,2018/19,Q3,2782.141,485,472,7,964,1.743261754,1.69653515,3.464957384,3.59597631,3.434341761,3.76970002
35,Metropolitan Police,London,2016/17,Q3,8778.491,1568,1439,34,3041,1.786183981,1.639233896,3.464148907,3.708236186,3.25554521,3.768471949
6,Metropolitan Police,London,2009/10,Q2,8778.491,1686,1317,30,3033,1.920603439,1.500257846,3.455035723,4.05980023,2.821899589,3.754629089
7,Metropolitan Police,London,2009/10,Q3,8778.491,1803,1194,28,3025,2.053883748,1.360142649,3.44592254,4.408384918,2.384699496,3.74078623
3,Metropolitan Police,London,2008/09,Q3,8778.491,1810,1188,22,3020,2.061857784,1.353307761,3.4402268,4.429240412,2.363372662,3.732134443
40,Greater Manchester,North West,2017/18,Q4,2782.141,484,458,15,957,1.7396674,1.646214193,3.439796905,3.586575545,3.277325763,3.731481435
41,Greater Manchester,North West,2018/19,Q1,2782.141,464,471,7,942,1.667780317,1.692940796,3.385881593,3.398560254,3.423126332,3.649584468
19,Metropolitan Police,London,2012/13,Q3,8778.491,1934,1000,29,2963,2.203112129,1.139147947,3.375295367,4.798680595,1.69513187,3.633504068
17,Metropolitan Police,London,2012/13,Q1,8778.491,1853,1085,23,2961,2.110841146,1.235975522,3.373017071,4.557352734,1.997262015,3.630043353
44,West Midlands,West Midlands,2018/19,Q4,2864.925,589,360,13,962,2.055900242,1.256577397,3.357854045,4.413658906,2.061545846,3.607010827
